list 1,list 2
rebalanceDates,rebalanceDates
calendardate,calendardate
datekey,datekey
dimension,dimension
lastupdated,lastupdated
reportperiod,reportperiod
ticker,ticker
payables,payables
opinc,opinc
opex,opex
ppnenet,ppnenet
assets,assets
liabilities,liabilities
debt,cashneq
depamor,cor
ebit,assetsc
ebitdausd,liabilitiesc
ebt,debtc
invcap,ev
ncfcommon,debtnc
ncfi,marketcap
ncfo,netinc
retearn,receivables
shareswa,revenue
shareswadil,sgna
cashneq,sharesbas
cor,equity
assetsc,bvps
liabilitiesc,capex
debtc,fcf
ev,netmargin
debtnc,price
marketcap,assetturnover
netinc,dps
receivables,evebitda
revenue,pb
sgna,pe1
sharesbas,return
equity,target
assetsavg,
assetsnc,
consolinc,
debtusd,
ebitda,
epsdil,
equityavg,
equityusd,
gp,
intangibles,
invcapavg,
investmentsnc,
liabilitiesnc,
ncf,
ncfdiv,
ncff,
ncfinv,
netinccmn,
netinccmnusd,
sbcomp,
sps,
tangibles,
taxassets,
taxexp,
tbvps,
workingcapital,
return,
target,
